Species,Endemicity
Dicrostonyx nunatakensis,Continental
Gerbillus juliani,Continental
Dendrohyrax arboreus,Continental
Dendromus melanotis,Continental
Dendromus mesomelas,Continental
Dendrolagus bennettianus,Continental
Dendrolagus lumholtzi,Continental
Dendromus kahuziensis,Continental
Dephomys defua,Continental
Dendromus insignis,Continental
Dendromus kivu,Continental
Dendromus lovati,Continental
Nanger granti,Continental
Desmana moschata,Continental
Diceros bicornis,Continental
Capra ibex,Continental
Dinaromys bogdanovi,Continental
Dryomys laniger,Continental
Dinomys branickii,Continental
Diomys crumpi,Continental
Dipodomys elator,Continental
Dipodomys gravipes,Continental
Diplomys caniceps,Continental
Diplomys labilis,Continental
Santamartamys rufodorsalis,Continental
Chaetocauda sichuanensis,Continental
Dipodomys ingens,Continental
Dipodomys stephensi,Continental
Dipodomys nitratoides,Continental
Dipodomys nelsoni,Continental
Dipodomys agilis,Continental
Dipodomys spectabilis,Continental
Dipodomys deserti,Continental
Lophuromys melanonyx,Continental
Elaphodus cephalophus,Continental
Dorcatragus megalotis,Continental
Dolichotis patagonum,Continental
Dolichotis salinicola,Continental
Atelocynus microtis,Continental
Lycalopex sechurae,Continental
Lycalopex vetulus,Continental
Lycalopex gymnocercus,Continental
Lycalopex culpaeus,Continental
Phyllomys dasythrix,Continental
Callistomys pictus,Continental
Echimys saturnus,Continental
Toromys grandis,Continental
Phyllomys lamarum,Continental
Phyllomys unicolor,Continental
Coendou rufescens,Continental
Notomys cervinus,Continental
Elaphurus davidianus,Continental
Elephantulus edwardii,Continental
Elephantulus revoilii,Continental
Elephantulus rupestris,Continental
Ellobius fuscocapillus,Continental
Ellobius lutescens,Continental
Moschus fuscus,Continental
Gerbillus perpallidus,Continental
Gerbillus poecilops,Continental
Gerbillus principulus,Continental
Eozapus setchuanus,Continental
Enhydra lutris,Continental
Eoglaucomys fimbriatus,Continental
Eothenomys chinensis,Continental
Eothenomys custos,Continental
Eothenomys proditor,Continental
Gerbillus pulvinatus,Continental
Myodes shanseius,Continental
Epixerus ebii,Continental
Ichthyomys pittieri,Continental
Equus kiang,Continental
Equus hemionus,Continental
Equus zebra,Continental
Equus africanus,Continental
Equus grevyi,Continental
Eremodipus lichtensteini,Continental
Eremitalpa granti,Continental
Erethizon dorsatum,Continental
Erythrocebus patas,Continental
Ochotona argentata,Continental
Gazella leptoceros,Continental
Euneomys chinchilloides,Continental
Eupetaurus cinereus,Continental
Euroscaptor parvidens,Continental
Procapra przewalskii,Continental
Felis bieti,Continental
Funambulus tristriatus,Continental
Felis margarita,Continental
Felis nigripes,Continental
Felovia vae,Continental
Galenomys garleppi,Continental
Nanger dama,Continental
Galago gallarum,Continental
Galago matschiei,Continental
Galago moholi,Continental
Galago senegalensis,Continental
Gazella gazella,Continental
Galea flavidens,Continental
Galemys pyrenaicus,Continental
Gazella cuvieri,Continental
Eudorcas rufifrons,Continental
Gazella subgutturosa,Continental
Gazella bennettii,Continental
Gazella spekei,Continental
Eudorcas thomsonii,Continental
Genetta cristata,Continental
Geomys arenarius,Continental
Geomys personatus,Continental
Geomys tropicalis,Continental
Geomys texensis,Continental
Georychus capensis,Continental
Gerbillurus setzeri,Continental
Gerbillus bottai,Continental
Gerbillurus tytonis,Continental
Gerbillus acticola,Continental
Gerbillus maghrebi,Continental
Gerbillus muriculus,Continental
Gerbillus nancillus,Continental
Gerbillus rosalinda,Continental
Gerbillus amoenus,Continental
Gerbillus andersoni,Continental
Gerbillus brockmani,Continental
Gerbillus famulus,Continental
Hyaena hyaena,Continental
Gerbillus floweri,Continental
Gerbillus gleadowi,Continental
Gerbillus grobbeni,Continental
Parahyaena brunnea,Continental
Gerbillus latastei,Continental
Gerbillus lowei,Continental
Gerbillus nanus,Continental
Pseudochirulus cinereus,Continental
Gerbillus occiduus,Continental
Gerbillus pusillus,Continental
Gerbillus pyramidum,Continental
Gerbillus somalicus,Continental
Gerbillus stigmonyx,Continental
Gerbillus tarabuli,Continental
Gerbillus watersi,Continental
Glironia venusta,Continental
Hybomys badius,Continental
Gorilla gorilla,Continental
Gracilinanus aceramarcae,Continental
Gracilinanus microtarsus,Continental
Gracilinanus emiliae,Continental
Gracilinanus marica,Continental
Hyladelphys kalinowskii,Continental
Gracilinanus agilis,Continental
Gracilinanus dryas,Continental
Grammomys buntingi,Continental
Grammomys dryas,Continental
Graomys domorum,Continental
Graomys edithae,Continental
Graphiurus monardi,Continental
Graphiurus rupicola,Continental
Gymnobelideus leadbeateri,Continental
Hadromys humei,Continental
Hybomys planifrons,Continental
Habromys chinanteco,Continental
Habromys lepturus,Continental
Hydrochoerus hydrochaeris,Continental
Habromys lophurus,Continental
Habromys simulatus,Continental
Hapalomys longicaudatus,Continental
Choeropsis liberiensis,Continental
Hippocamelus bisulcus,Continental
Hemibelideus lemuroides,Continental
Nilgiritragus hylocrius,Continental
Heliosciurus ruwenzorii,Continental
Arabitragus jayakari,Continental
Hemitragus jemlahicus,Continental
Herpailurus yagouaroundi,Continental
Heterohyrax brucei,Continental
Heteromys gaumeri,Continental
Hippocamelus antisensis,Continental
Hippopotamus amphibius,Continental
Loxodonta africana,Continental
Reithrodontomys hirsutus,Continental
Microdillus peeli,Continental
Hydropotes inermis,Continental
Hippotragus equinus,Continental
Hippotragus niger,Continental
Ichthyomys stolzmanni,Continental
Hodomys alleni,Continental
Ichthyomys tweedii,Continental
Hoplomys gymnurus,Continental
Hyemoschus aquaticus,Continental
Neotetracus sinensis,Continental
Hylobates pileatus,Continental
Hylomyscus denniae,Continental
Hylomyscus stella,Continental
Hyperacrius wynnei,Continental
Ichthyomys hydrobates,Continental
Idiurus macrotis,Continental
Idiurus zenkeri,Continental
Isothrix pagurus,Continental
Isthmomys flavidus,Continental
Isthmomys pirrensis,Continental
Kannabateomys amblyonyx,Continental
Kobus kob,Continental
Suncus malayanus,Continental
Saimiri vanzolinii,Continental
Lama guanicoe,Continental
Kerodon rupestris,Continental
Sorex cylindricauda,Continental
Kobus leche,Continental
Kobus megaceros,Continental
Kobus ellipsiprymnus,Continental
Kobus vardonii,Continental
Kunsia tomentosus,Continental
Kunsia fronto,Continental
Lagidium viscacia,Continental
Lagidium wolffsohni,Continental
Lagostomus maximus,Continental
Lasiopodomys fuscus,Continental
Lasiorhinus krefftii,Continental
Lemniscomys bellieri,Continental
Lemniscomys mittendorfi,Continental
Lemniscomys linulus,Continental
Lenoxus apicalis,Continental
Leontopithecus chrysopygus,Continental
Leontopithecus rosalia,Continental
Leopardus pardalis,Continental
Leopardus wiedii,Continental
Leopoldamys neilli,Continental
Leporillus apicalis,Continental
Lepus flavigularis,Continental
Lepus fagani,Continental
Lepus callotis,Continental
Lepus othus,Continental
Liberiictis kuhni,Continental
Lepus castroviejoi,Continental
Heteromys adspersus,Continental
Heteromys irroratus,Continental
Heteromys pictus,Continental
Heteromys salvini,Continental
Heteromys spectabilis,Continental
Litocranius walleri,Continental
Lonchothrix emiliae,Continental
Lontra felina,Continental
Lontra longicaudis,Continental
Lontra provocax,Continental
Lophiomys imhausi,Continental
Lophocebus albigena,Continental
Lophocebus aterrimus,Continental
Lophuromys medicaudatus,Continental
Herpestes ochraceus,Continental
Lophuromys rahmi,Continental
Lophuromys luteogaster,Continental
Lophuromys woosnami,Continental
Melanomys robustulus,Continental
Melanomys zunigae,Continental
Hydrictis maculicollis,Continental
Lutra sumatrana,Continental
Lycaon pictus,Continental
Lutrogale perspicillata,Continental
Lynx pardinus,Continental
Lynx rufus,Continental
Macaca arctoides,Continental
Macaca assamensis,Continental
Sylvilagus insonus,Continental
Sylvilagus dicei,Continental
Theropithecus gelada,Continental
Meriones dahli,Continental
Macaca radiata,Continental
Macaca silenus,Continental
Macaca sylvanus,Continental
Macaca thibetana,Continental
Meriones zarudnyi,Continental
Proechimys echinothrix,Continental
Proechimys kulinae,Continental
Mandrillus sphinx,Continental
Hylaeamys laticeps,Continental
Macropus bernardus,Continental
Macropus irma,Continental
Macropus parma,Continental
Madoqua piacentinii,Continental
Madoqua saltiana,Continental
